destination_iso_country,Day of date,fl_ranking,fl_wow_change,fl_yoy_change,destination_country,flights_number_7days
WS,"January 1, 2020",5,-7.32%,18.75%,Samoa,38
VU,"January 1, 2020",3,-13.25%,5.88%,Vanuatu,72
TV,"January 1, 2020",12,0.00%,0.00%,Tuvalu,2
TO,"January 1, 2020",4,-18.00%,0.00%,Tonga,41
SB,"January 1, 2020",7,-15.00%,-19.05%,Solomon Islands,17
PW,"January 1, 2020",6,22.73%,42.11%,Palau,27
PG,"January 1, 2020",1,-5.58%,39.60%,Papua New Guinea,423
NR,"January 1, 2020",11,200.00%,-62.50%,Nauru,3
MH,"January 1, 2020",9,16.67%,-30.00%,Marshall Islands (the),7
KI,"January 1, 2020",10,0.00%,0.00%,Kiribati,6
FM,"January 1, 2020",8,-9.09%,-60.00%,Micronesia (Federated States of),10
FJ,"January 1, 2020",2,-25.46%,-2.09%,Fiji,281
WS,"January 2, 2020",5,-9.52%,22.58%,Samoa,38
VU,"January 2, 2020",3,-15.48%,4.41%,Vanuatu,71
TV,"January 2, 2020",12,0.00%,-33.33%,Tuvalu,2
TO,"January 2, 2020",4,-4.35%,-2.22%,Tonga,44
SB,"January 2, 2020",7,-15.00%,-19.05%,Solomon Islands,17
PW,"January 2, 2020",6,31.82%,45.00%,Palau,29
PG,"January 2, 2020",1,-7.81%,38.59%,Papua New Guinea,413
NR,"January 2, 2020",11,0.00%,-75.00%,Nauru,2
MH,"January 2, 2020",10,0.00%,-45.45%,Marshall Islands (the),6
KI,"January 2, 2020",9,20.00%,20.00%,Kiribati,6
FM,"January 2, 2020",8,-9.09%,-60.00%,Micronesia (Federated States of),10
FJ,"January 2, 2020",2,-13.64%,5.19%,Fiji,304
WS,"January 3, 2020",5,-7.32%,22.58%,Samoa,38
VU,"January 3, 2020",3,-13.41%,4.41%,Vanuatu,71
TV,"January 3, 2020",11,200.00%,0.00%,Tuvalu,3
TO,"January 3, 2020",4,-6.00%,0.00%,Tonga,47
SB,"January 3, 2020",7,-15.00%,-15.00%,Solomon Islands,17
PW,"January 3, 2020",6,38.10%,38.10%,Palau,29
PG,"January 3, 2020",1,-8.54%,35.22%,Papua New Guinea,407
NR,"January 3, 2020",12,-66.67%,-88.89%,Nauru,1
MH,"January 3, 2020",9,0.00%,-40.00%,Marshall Islands (the),6
KI,"January 3, 2020",10,-16.67%,25.00%,Kiribati,5
FM,"January 3, 2020",8,-9.09%,-60.00%,Micronesia (Federated States of),10
FJ,"January 3, 2020",2,17.45%,17.85%,Fiji,350
WS,"January 4, 2020",5,7.89%,36.67%,Samoa,41
VU,"January 4, 2020",3,-8.75%,5.80%,Vanuatu,73
TV,"January 4, 2020",11,200.00%,50.00%,Tuvalu,3
TO,"January 4, 2020",4,-10.00%,-6.25%,Tonga,45
SB,"January 4, 2020",7,-5.26%,-10.00%,Solomon Islands,18
PW,"January 4, 2020",6,31.82%,26.09%,Palau,29
PG,"January 4, 2020",1,-8.22%,36.27%,Papua New Guinea,402
NR,"January 4, 2020",12,-66.67%,-88.89%,Nauru,1
MH,"January 4, 2020",9,0.00%,-40.00%,Marshall Islands (the),6
KI,"January 4, 2020",10,-16.67%,25.00%,Kiribati,5
FM,"January 4, 2020",8,0.00%,-56.00%,Micronesia (Federated States of),11
FJ,"January 4, 2020",2,40.00%,31.25%,Fiji,378
WS,"January 5, 2020",5,-7.69%,20.00%,Samoa,36
VU,"January 5, 2020",3,-9.88%,4.29%,Vanuatu,73
TV,"January 5, 2020",11,200.00%,50.00%,Tuvalu,3
TO,"January 5, 2020",4,13.33%,13.33%,Tonga,51
SB,"January 5, 2020",7,-5.26%,-10.00%,Solomon Islands,18
PW,"January 5, 2020",6,26.09%,45.00%,Palau,29
PG,"January 5, 2020",1,-8.74%,31.46%,Papua New Guinea,397
MH,"January 5, 2020",9,40.00%,-22.22%,Marshall Islands (the),7
KI,"January 5, 2020",10,0.00%,20.00%,Kiribati,6
FM,"January 5, 2020",8,-9.09%,-60.00%,Micronesia (Federated States of),10
FJ,"January 5, 2020",2,41.73%,34.16%,Fiji,377
WS,"January 6, 2020",5,-10.53%,13.33%,Samoa,34
VU,"January 6, 2020",3,-3.90%,8.82%,Vanuatu,74
TV,"January 6, 2020",11,200.00%,50.00%,Tuvalu,3
TO,"January 6, 2020",4,52.63%,38.10%,Tonga,58
SB,"January 6, 2020",7,0.00%,-10.00%,Solomon Islands,18
PW,"January 6, 2020",6,8.00%,28.57%,Palau,27
PG,"January 6, 2020",1,-10.65%,26.97%,Papua New Guinea,386
MH,"January 6, 2020",9,40.00%,-22.22%,Marshall Islands (the),7
KI,"January 6, 2020",10,0.00%,20.00%,Kiribati,6
FM,"January 6, 2020",8,11.11%,-62.96%,Micronesia (Federated States of),10
FJ,"January 6, 2020",2,36.47%,30.58%,Fiji,363
WS,"January 7, 2020",5,-15.79%,0.00%,Samoa,32
VU,"January 7, 2020",3,6.85%,14.71%,Vanuatu,78
TV,"January 7, 2020",11,200.00%,50.00%,Tuvalu,3
TO,"January 7, 2020",4,52.63%,45.00%,Tonga,58
SB,"January 7, 2020",7,11.76%,-5.00%,Solomon Islands,19
PW,"January 7, 2020",6,8.00%,28.57%,Palau,27
PG,"January 7, 2020",1,-9.32%,25.48%,Papua New Guinea,389
MH,"January 7, 2020",9,16.67%,-12.50%,Marshall Islands (the),7
KI,"January 7, 2020",10,0.00%,20.00%,Kiribati,6
FM,"January 7, 2020",8,22.22%,-57.69%,Micronesia (Federated States of),11
FJ,"January 7, 2020",2,33.96%,28.67%,Fiji,359
WS,"January 8, 2020",5,-10.53%,6.25%,Samoa,34
VU,"January 8, 2020",3,9.72%,11.27%,Vanuatu,79
TV,"January 8, 2020",11,0.00%,0.00%,Tuvalu,2
TO,"January 8, 2020",4,26.83%,8.33%,Tonga,52
SB,"January 8, 2020",7,11.76%,-5.00%,Solomon Islands,19
PW,"January 8, 2020",6,-7.41%,19.05%,Palau,25
PG,"January 8, 2020",1,-6.38%,23.75%,Papua New Guinea,396
MH,"January 8, 2020",9,-14.29%,-25.00%,Marshall Islands (the),6
KI,"January 8, 2020",10,-16.67%,0.00%,Kiribati,5
FM,"January 8, 2020",8,0.00%,-61.54%,Micronesia (Federated States of),10
FJ,"January 8, 2020",2,18.86%,18.44%,Fiji,334
WS,"January 9, 2020",5,-10.53%,3.03%,Samoa,34
VU,"January 9, 2020",3,7.04%,8.57%,Vanuatu,76
TV,"January 9, 2020",11,0.00%,0.00%,Tuvalu,2
TO,"January 9, 2020",4,11.36%,0.00%,Tonga,49
SB,"January 9, 2020",7,11.76%,-5.00%,Solomon Islands,19
PW,"January 9, 2020",6,-17.24%,20.00%,Palau,24
PG,"January 9, 2020",1,-2.18%,25.86%,Papua New Guinea,404
NR,"January 9, 2020",12,-50.00%,-87.50%,Nauru,1
MH,"January 9, 2020",9,16.67%,-12.50%,Marshall Islands (the),7
KI,"January 9, 2020",10,-16.67%,-16.67%,Kiribati,5
FM,"January 9, 2020",8,0.00%,-61.54%,Micronesia (Federated States of),10
FJ,"January 9, 2020",2,3.29%,12.14%,Fiji,314
WS,"January 10, 2020",5,-10.53%,0.00%,Samoa,34
VU,"January 10, 2020",3,11.27%,11.27%,Vanuatu,79
TV,"January 10, 2020",12,-33.33%,0.00%,Tuvalu,2
TO,"January 10, 2020",4,0.00%,-4.08%,Tonga,47
SB,"January 10, 2020",7,11.76%,-9.52%,Solomon Islands,19
PW,"January 10, 2020",6,-17.24%,20.00%,Palau,24
PG,"January 10, 2020",1,-0.25%,22.29%,Papua New Guinea,406
NR,"January 10, 2020",11,200.00%,-62.50%,Nauru,3
MH,"January 10, 2020",9,16.67%,-12.50%,Marshall Islands (the),7
KI,"January 10, 2020",10,0.00%,-28.57%,Kiribati,5
FM,"January 10, 2020",8,0.00%,-62.96%,Micronesia (Federated States of),10
FJ,"January 10, 2020",2,-9.43%,14.86%,Fiji,317
WS,"January 11, 2020",5,-14.63%,-5.41%,Samoa,35
VU,"January 11, 2020",3,10.96%,19.12%,Vanuatu,81
TV,"January 11, 2020",12,-33.33%,-33.33%,Tuvalu,2
TO,"January 11, 2020",4,4.44%,-6.00%,Tonga,47
SB,"January 11, 2020",7,5.56%,-9.52%,Solomon Islands,19
PW,"January 11, 2020",6,-20.69%,21.05%,Palau,23
PG,"January 11, 2020",1,0.50%,27.04%,Papua New Guinea,404
NR,"January 11, 2020",11,200.00%,-57.14%,Nauru,3
MH,"January 11, 2020",9,33.33%,0.00%,Marshall Islands (the),8
KI,"January 11, 2020",10,20.00%,-14.29%,Kiribati,6
FM,"January 11, 2020",8,-9.09%,-60.00%,Micronesia (Federated States of),10
FJ,"January 11, 2020",2,-17.72%,15.19%,Fiji,311
WS,"January 12, 2020",5,2.78%,-2.63%,Samoa,37
VU,"January 12, 2020",3,12.33%,22.39%,Vanuatu,82
TV,"January 12, 2020",12,-33.33%,-33.33%,Tuvalu,2
TO,"January 12, 2020",4,-7.84%,-11.32%,Tonga,47
SB,"January 12, 2020",7,5.56%,-9.52%,Solomon Islands,19
PW,"January 12, 2020",6,-24.14%,10.00%,Palau,22
PG,"January 12, 2020",1,2.02%,23.48%,Papua New Guinea,405
NR,"January 12, 2020",11,,-57.14%,Nauru,3
MH,"January 12, 2020",9,0.00%,-12.50%,Marshall Islands (the),7
KI,"January 12, 2020",10,-16.67%,-16.67%,Kiribati,5
FM,"January 12, 2020",8,0.00%,-60.00%,Micronesia (Federated States of),10
FJ,"January 12, 2020",2,-16.71%,14.60%,Fiji,314
WS,"January 13, 2020",5,11.76%,0.00%,Samoa,38
VU,"January 13, 2020",3,13.51%,25.37%,Vanuatu,84
TV,"January 13, 2020",12,-66.67%,-66.67%,Tuvalu,1
TO,"January 13, 2020",4,-22.41%,-19.64%,Tonga,45
SB,"January 13, 2020",7,5.56%,-9.52%,Solomon Islands,19
PW,"January 13, 2020",6,-14.81%,21.05%,Palau,23
PG,"January 13, 2020",1,7.25%,25.84%,Papua New Guinea,414
NR,"January 13, 2020",11,,-50.00%,Nauru,3
MH,"January 13, 2020",9,0.00%,0.00%,Marshall Islands (the),7
KI,"January 13, 2020",10,-16.67%,-16.67%,Kiribati,5
FM,"January 13, 2020",8,0.00%,-58.33%,Micronesia (Federated States of),10
FJ,"January 13, 2020",2,-11.57%,14.64%,Fiji,321
WS,"January 14, 2020",5,18.75%,0.00%,Samoa,38
VU,"January 14, 2020",3,1.28%,17.91%,Vanuatu,79
TV,"January 14, 2020",12,-66.67%,-66.67%,Tuvalu,1
TO,"January 14, 2020",4,-17.24%,-20.00%,Tonga,48
SB,"January 14, 2020",7,0.00%,-5.00%,Solomon Islands,19
PW,"January 14, 2020",6,-14.81%,15.00%,Palau,23
PG,"January 14, 2020",1,5.91%,22.62%,Papua New Guinea,412
NR,"January 14, 2020",11,,-50.00%,Nauru,3
MH,"January 14, 2020",9,-14.29%,-14.29%,Marshall Islands (the),6
KI,"January 14, 2020",10,-16.67%,-16.67%,Kiribati,5
FM,"January 14, 2020",8,-18.18%,-62.50%,Micronesia (Federated States of),9
FJ,"January 14, 2020",2,-9.19%,16.01%,Fiji,326
WS,"January 15, 2020",5,11.76%,2.70%,Samoa,38
VU,"January 15, 2020",3,-3.80%,13.43%,Vanuatu,76
TV,"January 15, 2020",12,-50.00%,-66.67%,Tuvalu,1
TO,"January 15, 2020",4,-3.85%,-12.28%,Tonga,50
SB,"January 15, 2020",7,0.00%,-5.00%,Solomon Islands,19
PW,"January 15, 2020",6,-8.00%,21.05%,Palau,23
PG,"January 15, 2020",1,4.55%,21.41%,Papua New Guinea,414
NR,"January 15, 2020",11,,-33.33%,Nauru,4
MH,"January 15, 2020",10,0.00%,-14.29%,Marshall Islands (the),6
KI,"January 15, 2020",9,20.00%,-14.29%,Kiribati,6
FM,"January 15, 2020",8,-10.00%,-57.14%,Micronesia (Federated States of),9
FJ,"January 15, 2020",2,1.20%,21.58%,Fiji,338
WS,"January 16, 2020",5,5.88%,-5.26%,Samoa,36
VU,"January 16, 2020",3,-1.32%,7.14%,Vanuatu,75
TV,"January 16, 2020",12,-50.00%,-66.67%,Tuvalu,1
TO,"January 16, 2020",4,6.12%,-8.77%,Tonga,52
SB,"January 16, 2020",7,0.00%,-5.00%,Solomon Islands,19
PW,"January 16, 2020",6,-8.33%,15.79%,Palau,22
PG,"January 16, 2020",1,4.70%,20.86%,Papua New Guinea,423
NR,"January 16, 2020",11,300.00%,-33.33%,Nauru,4
MH,"January 16, 2020",10,-14.29%,20.00%,Marshall Islands (the),6
KI,"January 16, 2020",9,20.00%,-14.29%,Kiribati,6
FM,"January 16, 2020",8,-10.00%,-57.14%,Micronesia (Federated States of),9
FJ,"January 16, 2020",2,10.51%,24.82%,Fiji,347
WS,"January 17, 2020",5,8.82%,2.78%,Samoa,37
VU,"January 17, 2020",3,-13.92%,-4.23%,Vanuatu,68
TO,"January 17, 2020",4,-4.26%,-21.05%,Tonga,45
SB,"January 17, 2020",7,0.00%,-5.00%,Solomon Islands,19
PW,"January 17, 2020",6,-8.33%,15.79%,Palau,22
PG,"January 17, 2020",1,5.91%,26.47%,Papua New Guinea,430
NR,"January 17, 2020",11,-33.33%,-60.00%,Nauru,2
MH,"January 17, 2020",10,-14.29%,0.00%,Marshall Islands (the),6
KI,"January 17, 2020",9,40.00%,0.00%,Kiribati,7
FM,"January 17, 2020",8,-10.00%,-47.06%,Micronesia (Federated States of),9
FJ,"January 17, 2020",2,4.42%,19.49%,Fiji,331
WS,"January 18, 2020",5,0.00%,0.00%,Samoa,35
VU,"January 18, 2020",3,-28.40%,-21.62%,Vanuatu,58
TV,"January 18, 2020",12,-50.00%,-66.67%,Tuvalu,1
TO,"January 18, 2020",4,-12.77%,-28.07%,Tonga,41
SB,"January 18, 2020",7,5.26%,0.00%,Solomon Islands,20
PW,"January 18, 2020",6,-4.35%,15.79%,Palau,22
PG,"January 18, 2020",1,6.44%,21.13%,Papua New Guinea,430
NR,"January 18, 2020",11,33.33%,-20.00%,Nauru,4
MH,"January 18, 2020",10,-25.00%,0.00%,Marshall Islands (the),6
KI,"January 18, 2020",9,16.67%,0.00%,Kiribati,7
FM,"January 18, 2020",8,-20.00%,-63.64%,Micronesia (Federated States of),8
FJ,"January 18, 2020",2,8.36%,15.41%,Fiji,337
WS,"January 19, 2020",5,-2.70%,5.88%,Samoa,36
VU,"January 19, 2020",3,-31.71%,-25.33%,Vanuatu,56
TV,"January 19, 2020",12,-50.00%,-66.67%,Tuvalu,1
TO,"January 19, 2020",4,-14.89%,-32.20%,Tonga,40
SB,"January 19, 2020",7,5.26%,0.00%,Solomon Islands,20
PW,"January 19, 2020",6,0.00%,22.22%,Palau,22
PG,"January 19, 2020",1,7.65%,23.51%,Papua New Guinea,436
NR,"January 19, 2020",11,66.67%,-16.67%,Nauru,5
MH,"January 19, 2020",10,-14.29%,-14.29%,Marshall Islands (the),6
KI,"January 19, 2020",9,40.00%,0.00%,Kiribati,7
FM,"January 19, 2020",8,-10.00%,-59.09%,Micronesia (Federated States of),9
FJ,"January 19, 2020",2,7.32%,12.33%,Fiji,337
WS,"January 20, 2020",5,-5.26%,2.86%,Samoa,36
VU,"January 20, 2020",3,-36.90%,-32.91%,Vanuatu,53
TV,"January 20, 2020",12,100.00%,-33.33%,Tuvalu,2
TO,"January 20, 2020",4,-11.11%,-27.27%,Tonga,40
SB,"January 20, 2020",7,5.26%,0.00%,Solomon Islands,20
PW,"January 20, 2020",6,-8.70%,16.67%,Palau,21
PG,"January 20, 2020",1,5.56%,21.39%,Papua New Guinea,437
NR,"January 20, 2020",11,66.67%,-16.67%,Nauru,5
MH,"January 20, 2020",10,-14.29%,-25.00%,Marshall Islands (the),6
KI,"January 20, 2020",9,40.00%,16.67%,Kiribati,7
FM,"January 20, 2020",8,-10.00%,-59.09%,Micronesia (Federated States of),9
FJ,"January 20, 2020",2,4.98%,13.85%,Fiji,337
WS,"January 21, 2020",5,-2.63%,12.12%,Samoa,37
VU,"January 21, 2020",3,-31.65%,-29.87%,Vanuatu,54
TV,"January 21, 2020",12,100.00%,-33.33%,Tuvalu,2
TO,"January 21, 2020",4,-16.67%,-14.89%,Tonga,40
SB,"January 21, 2020",7,5.26%,-4.76%,Solomon Islands,20
PW,"January 21, 2020",6,-8.70%,23.53%,Palau,21
PG,"January 21, 2020",1,10.68%,30.66%,Papua New Guinea,456
NR,"January 21, 2020",10,133.33%,16.67%,Nauru,7
MH,"January 21, 2020",11,0.00%,-40.00%,Marshall Islands (the),6
KI,"January 21, 2020",9,40.00%,0.00%,Kiribati,7
FM,"January 21, 2020",8,11.11%,-54.55%,Micronesia (Federated States of),10
FJ,"January 21, 2020",2,3.99%,14.53%,Fiji,339
WS,"January 22, 2020",5,-7.89%,2.94%,Samoa,35
VU,"January 22, 2020",3,-26.32%,-29.11%,Vanuatu,56
TV,"January 22, 2020",12,200.00%,0.00%,Tuvalu,3
TO,"January 22, 2020",4,-16.00%,-4.55%,Tonga,42
SB,"January 22, 2020",7,10.53%,5.00%,Solomon Islands,21
PW,"January 22, 2020",6,-8.70%,16.67%,Palau,21
PG,"January 22, 2020",1,7.97%,30.70%,Papua New Guinea,447
NR,"January 22, 2020",11,50.00%,0.00%,Nauru,6
MH,"January 22, 2020",10,0.00%,-45.45%,Marshall Islands (the),6
KI,"January 22, 2020",9,16.67%,0.00%,Kiribati,7
FM,"January 22, 2020",8,11.11%,-58.33%,Micronesia (Federated States of),10
FJ,"January 22, 2020",2,1.18%,15.54%,Fiji,342
WS,"January 23, 2020",5,0.00%,9.09%,Samoa,36
VU,"January 23, 2020",3,-20.00%,-21.05%,Vanuatu,60
TV,"January 23, 2020",12,200.00%,0.00%,Tuvalu,3
TO,"January 23, 2020",4,-17.31%,16.22%,Tonga,43
SB,"January 23, 2020",6,15.79%,15.79%,Solomon Islands,22
PW,"January 23, 2020",7,-4.55%,16.67%,Palau,21
PG,"January 23, 2020",1,9.46%,40.30%,Papua New Guinea,463
NR,"January 23, 2020",11,25.00%,-16.67%,Nauru,5
MH,"January 23, 2020",10,-16.67%,-58.33%,Marshall Islands (the),5
KI,"January 23, 2020",9,16.67%,0.00%,Kiribati,7
FM,"January 23, 2020",8,11.11%,-60.00%,Micronesia (Federated States of),10
FJ,"January 23, 2020",2,0.58%,15.18%,Fiji,349
WS,"January 24, 2020",5,0.00%,8.82%,Samoa,37
VU,"January 24, 2020",3,-4.41%,-13.33%,Vanuatu,65
TV,"January 24, 2020",12,,33.33%,Tuvalu,4
TO,"January 24, 2020",4,8.89%,63.33%,Tonga,49
SB,"January 24, 2020",6,15.79%,15.79%,Solomon Islands,22
PW,"January 24, 2020",7,-4.55%,23.53%,Palau,21
PG,"January 24, 2020",1,9.07%,38.76%,Papua New Guinea,469
NR,"January 24, 2020",9,250.00%,0.00%,Nauru,7
MH,"January 24, 2020",11,-16.67%,-58.33%,Marshall Islands (the),5
KI,"January 24, 2020",10,-14.29%,-14.29%,Kiribati,6
FM,"January 24, 2020",8,11.11%,-64.29%,Micronesia (Federated States of),10
FJ,"January 24, 2020",2,6.65%,14.98%,Fiji,353
WS,"January 25, 2020",5,14.29%,17.65%,Samoa,40
VU,"January 25, 2020",3,24.14%,-5.26%,Vanuatu,72
TV,"January 25, 2020",12,200.00%,0.00%,Tuvalu,3
TO,"January 25, 2020",4,29.27%,120.83%,Tonga,53
SB,"January 25, 2020",7,0.00%,5.26%,Solomon Islands,20
PW,"January 25, 2020",6,-4.55%,23.53%,Palau,21
PG,"January 25, 2020",1,12.79%,44.35%,Papua New Guinea,485
NR,"January 25, 2020",11,25.00%,-28.57%,Nauru,5
MH,"January 25, 2020",10,-16.67%,-64.29%,Marshall Islands (the),5
KI,"January 25, 2020",9,-14.29%,-14.29%,Kiribati,6
FM,"January 25, 2020",8,25.00%,-60.00%,Micronesia (Federated States of),10
FJ,"January 25, 2020",2,3.56%,12.94%,Fiji,349
WS,"January 26, 2020",5,8.33%,18.18%,Samoa,39
VU,"January 26, 2020",3,28.57%,-4.00%,Vanuatu,72
TV,"January 26, 2020",12,200.00%,0.00%,Tuvalu,3
TO,"January 26, 2020",4,25.00%,163.16%,Tonga,50
SB,"January 26, 2020",7,5.00%,5.00%,Solomon Islands,21
PW,"January 26, 2020",6,-4.55%,16.67%,Palau,21
PG,"January 26, 2020",1,11.01%,46.22%,Papua New Guinea,484
NR,"January 26, 2020",11,0.00%,-28.57%,Nauru,5
MH,"January 26, 2020",10,-16.67%,-61.54%,Marshall Islands (the),5
KI,"January 26, 2020",9,-28.57%,-28.57%,Kiribati,5
FM,"January 26, 2020",8,-11.11%,-69.23%,Micronesia (Federated States of),8
FJ,"January 26, 2020",2,2.37%,16.55%,Fiji,345
WS,"January 27, 2020",5,-2.78%,12.90%,Samoa,35
VU,"January 27, 2020",3,30.19%,-2.82%,Vanuatu,69
TV,"January 27, 2020",12,50.00%,0.00%,Tuvalu,3
TO,"January 27, 2020",4,27.50%,168.42%,Tonga,51
SB,"January 27, 2020",7,5.00%,10.53%,Solomon Islands,21
PW,"January 27, 2020",6,0.00%,16.67%,Palau,21
PG,"January 27, 2020",1,10.76%,48.47%,Papua New Guinea,484
NR,"January 27, 2020",11,0.00%,-28.57%,Nauru,5
MH,"January 27, 2020",10,-16.67%,-61.54%,Marshall Islands (the),5
KI,"January 27, 2020",9,-14.29%,-25.00%,Kiribati,6
FM,"January 27, 2020",8,0.00%,-65.38%,Micronesia (Federated States of),9
FJ,"January 27, 2020",2,0.00%,13.09%,Fiji,337
WS,"January 28, 2020",5,-10.81%,6.45%,Samoa,33
VU,"January 28, 2020",3,22.22%,-10.81%,Vanuatu,66
TV,"January 28, 2020",12,50.00%,0.00%,Tuvalu,3
TO,"January 28, 2020",4,27.50%,168.42%,Tonga,51
SB,"January 28, 2020",7,5.00%,10.53%,Solomon Islands,21
PW,"January 28, 2020",6,0.00%,23.53%,Palau,21
PG,"January 28, 2020",1,1.32%,45.28%,Papua New Guinea,462
NR,"January 28, 2020",11,-57.14%,-57.14%,Nauru,3
MH,"January 28, 2020",10,-16.67%,-58.33%,Marshall Islands (the),5
KI,"January 28, 2020",9,-28.57%,-28.57%,Kiribati,5
FM,"January 28, 2020",8,-20.00%,-69.23%,Micronesia (Federated States of),8
FJ,"January 28, 2020",2,-5.60%,8.47%,Fiji,320
WS,"January 29, 2020",5,0.00%,16.67%,Samoa,35
VU,"January 29, 2020",3,19.64%,-6.94%,Vanuatu,67
TV,"January 29, 2020",12,0.00%,0.00%,Tuvalu,3
TO,"January 29, 2020",4,16.67%,172.22%,Tonga,49
SB,"January 29, 2020",7,0.00%,5.00%,Solomon Islands,21
PW,"January 29, 2020",6,0.00%,31.25%,Palau,21
PG,"January 29, 2020",1,3.58%,46.52%,Papua New Guinea,463
NR,"January 29, 2020",11,-50.00%,-57.14%,Nauru,3
MH,"January 29, 2020",10,-16.67%,-58.33%,Marshall Islands (the),5
KI,"January 29, 2020",9,-14.29%,-14.29%,Kiribati,6
FM,"January 29, 2020",8,-20.00%,-70.37%,Micronesia (Federated States of),8
FJ,"January 29, 2020",2,-7.31%,7.82%,Fiji,317
WS,"January 30, 2020",5,-8.33%,13.79%,Samoa,33
VU,"January 30, 2020",3,11.67%,-5.63%,Vanuatu,67
TV,"January 30, 2020",12,0.00%,0.00%,Tuvalu,3
TO,"January 30, 2020",4,9.30%,161.11%,Tonga,47
SB,"January 30, 2020",7,-4.55%,-4.55%,Solomon Islands,21
PW,"January 30, 2020",6,0.00%,31.25%,Palau,21
PG,"January 30, 2020",1,-3.24%,39.13%,Papua New Guinea,448
NR,"January 30, 2020",11,-20.00%,-60.00%,Nauru,4
MH,"January 30, 2020",10,0.00%,-58.33%,Marshall Islands (the),5
KI,"January 30, 2020",9,14.29%,14.29%,Kiribati,8
FM,"January 30, 2020",8,-20.00%,-69.23%,Micronesia (Federated States of),8
FJ,"January 30, 2020",2,-11.17%,6.16%,Fiji,310
WS,"January 31, 2020",5,-10.81%,10.00%,Samoa,33
VU,"January 31, 2020",3,7.69%,-1.41%,Vanuatu,70
TV,"January 31, 2020",12,-25.00%,0.00%,Tuvalu,3
TO,"January 31, 2020",4,-10.20%,144.44%,Tonga,44
SB,"January 31, 2020",7,-9.09%,-9.09%,Solomon Islands,20
PW,"January 31, 2020",6,0.00%,23.53%,Palau,21
PG,"January 31, 2020",1,-7.25%,35.94%,Papua New Guinea,435
NR,"January 31, 2020",11,-57.14%,-70.00%,Nauru,3
MH,"January 31, 2020",10,0.00%,-58.33%,Marshall Islands (the),5
KI,"January 31, 2020",8,50.00%,28.57%,Kiribati,9
FM,"January 31, 2020",9,-20.00%,-69.23%,Micronesia (Federated States of),8
FJ,"January 31, 2020",2,-10.20%,8.93%,Fiji,317
WS,"February 1, 2020",5,-30.00%,0.00%,Samoa,28
VU,"February 1, 2020",3,-8.33%,-5.71%,Vanuatu,66
TV,"February 1, 2020",12,0.00%,0.00%,Tuvalu,3
TO,"February 1, 2020",4,-16.98%,175.00%,Tonga,44
SB,"February 1, 2020",7,0.00%,-13.04%,Solomon Islands,20
PW,"February 1, 2020",6,0.00%,16.67%,Palau,21
PG,"February 1, 2020",1,-13.81%,31.86%,Papua New Guinea,418
NR,"February 1, 2020",11,-40.00%,-70.00%,Nauru,3
MH,"February 1, 2020",10,-20.00%,-60.00%,Marshall Islands (the),4
KI,"February 1, 2020",9,50.00%,28.57%,Kiribati,9
FM,"February 1, 2020",8,-10.00%,-65.38%,Micronesia (Federated States of),9
FJ,"February 1, 2020",2,-12.03%,6.23%,Fiji,307
WS,"February 2, 2020",5,-30.77%,-6.90%,Samoa,27
VU,"February 2, 2020",3,-9.72%,-4.41%,Vanuatu,65
TV,"February 2, 2020",12,0.00%,0.00%,Tuvalu,3
TO,"February 2, 2020",4,-16.00%,162.50%,Tonga,42
SB,"February 2, 2020",7,-9.52%,-13.64%,Solomon Islands,19
PW,"February 2, 2020",6,0.00%,23.53%,Palau,21
PG,"February 2, 2020",1,-14.05%,32.48%,Papua New Guinea,416
NR,"February 2, 2020",11,-40.00%,-66.67%,Nauru,3
MH,"February 2, 2020",10,-20.00%,-60.00%,Marshall Islands (the),4
KI,"February 2, 2020",9,80.00%,28.57%,Kiribati,9
FM,"February 2, 2020",8,25.00%,-62.96%,Micronesia (Federated States of),10
FJ,"February 2, 2020",2,-11.88%,3.40%,Fiji,304
WS,"February 3, 2020",5,-17.14%,7.41%,Samoa,29
VU,"February 3, 2020",3,-4.35%,-1.49%,Vanuatu,66
TV,"February 3, 2020",12,0.00%,0.00%,Tuvalu,3
TO,"February 3, 2020",4,-29.41%,125.00%,Tonga,36
SB,"February 3, 2020",7,-4.76%,-16.67%,Solomon Islands,20
PW,"February 3, 2020",6,0.00%,23.53%,Palau,21
PG,"February 3, 2020",1,-16.32%,30.23%,Papua New Guinea,405
NR,"February 3, 2020",11,-20.00%,-60.00%,Nauru,4
MH,"February 3, 2020",10,0.00%,-50.00%,Marshall Islands (the),5
KI,"February 3, 2020",8,66.67%,42.86%,Kiribati,10
FM,"February 3, 2020",9,0.00%,-65.38%,Micronesia (Federated States of),9
FJ,"February 3, 2020",2,-8.31%,5.10%,Fiji,309
WS,"February 4, 2020",5,-15.15%,16.67%,Samoa,28
VU,"February 4, 2020",3,6.06%,6.06%,Vanuatu,70
TV,"February 4, 2020",12,0.00%,0.00%,Tuvalu,3
TO,"February 4, 2020",4,-43.14%,81.25%,Tonga,29
SB,"February 4, 2020",7,-4.76%,-16.67%,Solomon Islands,20
PW,"February 4, 2020",6,-4.76%,5.26%,Palau,20
PG,"February 4, 2020",1,-10.39%,29.78%,Papua New Guinea,414
NR,"February 4, 2020",11,66.67%,-50.00%,Nauru,5
MH,"February 4, 2020",10,0.00%,-44.44%,Marshall Islands (the),5
