,Date,Country,Seats_arrivals_intl,Number_of_flights_intl
139,2019-05-20,Papua New Guinea,1518,8
140,2019-05-21,Papua New Guinea,921,4
141,2019-05-22,Papua New Guinea,1183,7
142,2019-05-23,Papua New Guinea,1253,6
143,2019-05-24,Papua New Guinea,1157,4
144,2019-05-25,Papua New Guinea,1418,8
145,2019-05-26,Papua New Guinea,782,3
146,2019-05-27,Papua New Guinea,1518,8
147,2019-05-28,Papua New Guinea,921,4
148,2019-05-29,Papua New Guinea,1211,7
149,2019-05-30,Papua New Guinea,1253,6
150,2019-05-31,Papua New Guinea,954,3
151,2019-06-01,Papua New Guinea,1390,8
152,2019-06-02,Papua New Guinea,782,3
153,2019-06-03,Papua New Guinea,1388,7
154,2019-06-04,Papua New Guinea,825,4
155,2019-06-05,Papua New Guinea,1299,7
156,2019-06-06,Papua New Guinea,1171,6
157,2019-06-07,Papua New Guinea,954,3
158,2019-06-08,Papua New Guinea,1390,8
159,2019-06-09,Papua New Guinea,653,3
160,2019-06-10,Papua New Guinea,1619,8
161,2019-06-11,Papua New Guinea,839,4
162,2019-06-12,Papua New Guinea,1183,7
163,2019-06-13,Papua New Guinea,1253,6
164,2019-06-14,Papua New Guinea,926,3
165,2019-06-15,Papua New Guinea,1418,8
166,2019-06-16,Papua New Guinea,754,3
167,2019-06-17,Papua New Guinea,1518,8
168,2019-06-18,Papua New Guinea,994,5
169,2019-06-19,Papua New Guinea,1198,7
170,2019-06-20,Papua New Guinea,1225,6
171,2019-06-21,Papua New Guinea,1028,3
172,2019-06-22,Papua New Guinea,1344,8
173,2019-06-23,Papua New Guinea,883,4
174,2019-06-24,Papua New Guinea,1417,7
175,2019-06-25,Papua New Guinea,921,4
176,2019-06-26,Papua New Guinea,1183,7
177,2019-06-27,Papua New Guinea,1253,6
178,2019-06-28,Papua New Guinea,1028,3
179,2019-06-29,Papua New Guinea,1532,9
180,2019-06-30,Papua New Guinea,782,3
181,2019-07-01,Papua New Guinea,1590,8
182,2019-07-02,Papua New Guinea,993,4
183,2019-07-03,Papua New Guinea,1055,7
184,2019-07-04,Papua New Guinea,1413,7
185,2019-07-05,Papua New Guinea,1216,4
186,2019-07-06,Papua New Guinea,1551,9
187,2019-07-07,Papua New Guinea,726,3
188,2019-07-08,Papua New Guinea,1514,7
189,2019-07-09,Papua New Guinea,1008,4
190,2019-07-10,Papua New Guinea,1211,7
191,2019-07-11,Papua New Guinea,1441,7
192,2019-07-12,Papua New Guinea,972,3
193,2019-07-13,Papua New Guinea,1459,8
194,2019-07-14,Papua New Guinea,1018,5
195,2019-07-15,Papua New Guinea,1590,8
196,2019-07-16,Papua New Guinea,1063,5
197,2019-07-17,Papua New Guinea,1115,7
198,2019-07-18,Papua New Guinea,1325,6
199,2019-07-19,Papua New Guinea,1028,3
200,2019-07-20,Papua New Guinea,1450,9
201,2019-07-21,Papua New Guinea,970,4
202,2019-07-22,Papua New Guinea,1706,9
203,2019-07-23,Papua New Guinea,993,4
204,2019-07-24,Papua New Guinea,1196,8
205,2019-07-25,Papua New Guinea,1253,5
206,2019-07-26,Papua New Guinea,1037,4
207,2019-07-27,Papua New Guinea,1450,9
208,2019-07-28,Papua New Guinea,956,3
209,2019-07-29,Papua New Guinea,1560,8
210,2019-07-30,Papua New Guinea,883,4
211,2019-07-31,Papua New Guinea,1255,7
212,2019-08-01,Papua New Guinea,1137,5
213,2019-08-02,Papua New Guinea,1115,4
214,2019-08-03,Papua New Guinea,1504,9
215,2019-08-04,Papua New Guinea,754,4
216,2019-08-05,Papua New Guinea,1648,7
217,2019-08-06,Papua New Guinea,965,4
218,2019-08-07,Papua New Guinea,1283,8
219,2019-08-08,Papua New Guinea,1291,6
220,2019-08-09,Papua New Guinea,1028,3
221,2019-08-10,Papua New Guinea,1431,8
222,2019-08-11,Papua New Guinea,726,4
223,2019-08-12,Papua New Guinea,1474,7
224,2019-08-13,Papua New Guinea,965,4
