,Date,Country,Seats_arrivals_intl,Number_of_flights_intl
132,2019-05-13,Micronesia (Federated States of),0.0,0.0
133,2019-05-14,Micronesia (Federated States of),332.0,2.0
134,2019-05-15,Micronesia (Federated States of),0.0,0.0
135,2019-05-16,Micronesia (Federated States of),166.0,1.0
136,2019-05-17,Micronesia (Federated States of),0.0,0.0
137,2019-05-18,Micronesia (Federated States of),657.0,4.0
138,2019-05-19,Micronesia (Federated States of),166.0,1.0
139,2019-05-20,Micronesia (Federated States of),126.0,1.0
140,2019-05-21,Micronesia (Federated States of),332.0,2.0
141,2019-05-22,Micronesia (Federated States of),0.0,0.0
142,2019-05-23,Micronesia (Federated States of),166.0,1.0
143,2019-05-24,Micronesia (Federated States of),0.0,0.0
144,2019-05-25,Micronesia (Federated States of),697.0,4.0
145,2019-05-26,Micronesia (Federated States of),166.0,1.0
146,2019-05-27,Micronesia (Federated States of),126.0,1.0
147,2019-05-28,Micronesia (Federated States of),292.0,2.0
148,2019-05-29,Micronesia (Federated States of),0.0,0.0
149,2019-05-30,Micronesia (Federated States of),166.0,1.0
150,2019-05-31,Micronesia (Federated States of),0.0,0.0
151,2019-06-01,Micronesia (Federated States of),624.0,3.0
152,2019-06-02,Micronesia (Federated States of),239.0,2.0
153,2019-06-03,Micronesia (Federated States of),166.0,1.0
154,2019-06-04,Micronesia (Federated States of),332.0,2.0
155,2019-06-05,Micronesia (Federated States of),0.0,0.0
156,2019-06-06,Micronesia (Federated States of),166.0,1.0
157,2019-06-07,Micronesia (Federated States of),0.0,0.0
158,2019-06-08,Micronesia (Federated States of),531.0,3.0
159,2019-06-09,Micronesia (Federated States of),166.0,1.0
160,2019-06-10,Micronesia (Federated States of),166.0,1.0
161,2019-06-11,Micronesia (Federated States of),292.0,2.0
162,2019-06-12,Micronesia (Federated States of),0.0,0.0
163,2019-06-13,Micronesia (Federated States of),0.0,0.0
164,2019-06-14,Micronesia (Federated States of),166.0,1.0
165,2019-06-15,Micronesia (Federated States of),491.0,3.0
166,2019-06-16,Micronesia (Federated States of),166.0,1.0
167,2019-06-17,Micronesia (Federated States of),166.0,1.0
168,2019-06-18,Micronesia (Federated States of),332.0,2.0
169,2019-06-19,Micronesia (Federated States of),0.0,0.0
170,2019-06-20,Micronesia (Federated States of),166.0,1.0
171,2019-06-21,Micronesia (Federated States of),0.0,0.0
172,2019-06-22,Micronesia (Federated States of),697.0,4.0
173,2019-06-23,Micronesia (Federated States of),0.0,0.0
174,2019-06-24,Micronesia (Federated States of),332.0,1.0
175,2019-06-25,Micronesia (Federated States of),292.0,2.0
176,2019-06-26,Micronesia (Federated States of),0.0,0.0
177,2019-06-27,Micronesia (Federated States of),332.0,2.0
178,2019-06-28,Micronesia (Federated States of),0.0,0.0
179,2019-06-29,Micronesia (Federated States of),697.0,4.0
180,2019-06-30,Micronesia (Federated States of),332.0,2.0
181,2019-07-01,Micronesia (Federated States of),0.0,0.0
182,2019-07-02,Micronesia (Federated States of),498.0,3.0
183,2019-07-03,Micronesia (Federated States of),0.0,0.0
184,2019-07-04,Micronesia (Federated States of),332.0,2.0
185,2019-07-05,Micronesia (Federated States of),0.0,0.0
186,2019-07-06,Micronesia (Federated States of),531.0,3.0
187,2019-07-07,Micronesia (Federated States of),166.0,1.0
188,2019-07-08,Micronesia (Federated States of),166.0,1.0
189,2019-07-09,Micronesia (Federated States of),292.0,2.0
190,2019-07-10,Micronesia (Federated States of),0.0,0.0
191,2019-07-11,Micronesia (Federated States of),166.0,1.0
192,2019-07-12,Micronesia (Federated States of),166.0,1.0
193,2019-07-13,Micronesia (Federated States of),584.0,3.0
194,2019-07-14,Micronesia (Federated States of),166.0,1.0
195,2019-07-15,Micronesia (Federated States of),166.0,1.0
196,2019-07-16,Micronesia (Federated States of),332.0,2.0
197,2019-07-17,Micronesia (Federated States of),0.0,0.0
