,Date,Country,Seats_arrivals_intl,Number_of_flights_intl
132,2019-05-13,Vanuatu,550.0,3.0
133,2019-05-14,Vanuatu,552.0,4.0
134,2019-05-15,Vanuatu,584.0,4.0
135,2019-05-16,Vanuatu,408.0,3.0
136,2019-05-17,Vanuatu,498.0,3.0
137,2019-05-18,Vanuatu,652.0,4.0
138,2019-05-19,Vanuatu,566.0,4.0
139,2019-05-20,Vanuatu,686.0,4.0
140,2019-05-21,Vanuatu,552.0,4.0
141,2019-05-22,Vanuatu,584.0,4.0
142,2019-05-23,Vanuatu,408.0,3.0
143,2019-05-24,Vanuatu,498.0,3.0
144,2019-05-25,Vanuatu,652.0,4.0
145,2019-05-26,Vanuatu,566.0,4.0
146,2019-05-27,Vanuatu,686.0,4.0
147,2019-05-28,Vanuatu,552.0,4.0
148,2019-05-29,Vanuatu,584.0,4.0
149,2019-05-30,Vanuatu,566.0,4.0
150,2019-05-31,Vanuatu,340.0,2.0
151,2019-06-01,Vanuatu,652.0,4.0
152,2019-06-02,Vanuatu,566.0,4.0
153,2019-06-03,Vanuatu,686.0,4.0
154,2019-06-04,Vanuatu,552.0,4.0
155,2019-06-05,Vanuatu,584.0,4.0
156,2019-06-06,Vanuatu,408.0,3.0
157,2019-06-07,Vanuatu,498.0,3.0
158,2019-06-08,Vanuatu,652.0,4.0
159,2019-06-09,Vanuatu,566.0,4.0
160,2019-06-10,Vanuatu,686.0,4.0
161,2019-06-11,Vanuatu,552.0,4.0
162,2019-06-12,Vanuatu,584.0,4.0
163,2019-06-13,Vanuatu,408.0,3.0
164,2019-06-14,Vanuatu,498.0,3.0
165,2019-06-15,Vanuatu,652.0,4.0
166,2019-06-16,Vanuatu,566.0,4.0
167,2019-06-17,Vanuatu,686.0,4.0
168,2019-06-18,Vanuatu,408.0,3.0
169,2019-06-19,Vanuatu,414.0,3.0
170,2019-06-20,Vanuatu,408.0,3.0
171,2019-06-21,Vanuatu,328.0,2.0
172,2019-06-22,Vanuatu,652.0,4.0
173,2019-06-23,Vanuatu,572.0,4.0
174,2019-06-24,Vanuatu,414.0,3.0
175,2019-06-25,Vanuatu,552.0,4.0
176,2019-06-26,Vanuatu,414.0,3.0
177,2019-06-27,Vanuatu,408.0,3.0
178,2019-06-28,Vanuatu,328.0,2.0
